REQUEST_DATE|SCENARIO_SEQ|REQUEST_SEQ|XPOS|YPOS|SISUL_CD1|RSRP1|SINR1|SISUL_CD2|RSRP2|SINR2|SISUL_CD3|RSRP3|SINR3
43740|1|1|127-06-03.987|37-30-14.598|2019Y8414|-83.1779|21.78||||||
43740|1|1|127-06-03.987|37-30-14.923|2019Y8414|-104.19494|15.4||||||
43740|1|1|127-06-03.988|37-30-15.247|2019Y8414|-118.05466|4.89||||||
43740|1|1|127-06-03.988|37-30-15.571|2019Y8414|-92.97048|11.71||||||
43740|1|1|127-06-03.989|37-30-15.896|2019Y8414|-118.482635|4.39||||||
43740|1|1|127-06-03.989|37-30-16.220|2019Y8414|-75.138275|28.85||||||
43740|1|1|127-06-03.989|37-30-16.544|2019Y8414|-118.66477|4.05||||||
43740|1|1|127-06-03.990|37-30-16.869|2019Y8414|-120.13542|2.41||||||
43740|1|1|127-06-03.990|37-30-17.193|2019Y8414|-97.709496|5.24||||||
43740|1|1|127-06-03.991|37-30-17.517|20193AYPT|-121.835976|0.68||||||
43740|1|1|127-06-03.991|37-30-17.842|20193AS1H|-97.09268|6.09||||||
43740|1|1|127-06-03.992|37-30-18.166|20193AS1H|-120.018654|2.26||||||
43740|1|1|127-06-03.992|37-30-18.491|20193AS1H|-118.98216|3.18||||||
43740|1|1|127-06-03.992|37-30-18.815|20193AS1H|-118.39348|3.65||||||
43740|1|1|127-06-03.993|37-30-19.139|20193AS1H|-118.85858|3.2||||||
43740|1|1|127-06-03.993|37-30-19.464|20193AS1H|-94.603714|7.25||||||
43740|1|1|127-06-03.994|37-30-19.788|20193AS1H|-118.38838|3.68||||||
43740|1|1|127-06-03.994|37-30-20.112|20193AS1H|-94.95048|7.16||||||
43740|1|1|127-06-03.995|37-30-20.437|2019Y2178|-113.62456|7.43||||||
43740|1|1|127-06-03.995|37-30-20.761|20193AS1H|-94.42839|7.98||||||
43740|1|1|127-06-03.996|37-30-21.085|20193AS1H|-95.193535|7.24||||||
43740|1|1|127-06-03.996|37-30-21.410|20193AS1H|-96.03803|6.41||||||
43740|1|1|127-06-03.996|37-30-21.734|20193AS1H|-96.21808|6.16||||||
43740|1|1|127-06-03.997|37-30-22.059|201935867|-96.49436|6.06||||||
43740|1|1|127-06-03.997|37-30-22.383|20193AS1H|-97.24251|5.67||||||
43740|1|1|127-06-03.998|37-30-22.707|201935867|-121.53034|1.04||||||
43740|1|1|127-06-03.998|37-30-23.032|201935867|-95.91634|4.29||||||
43740|1|1|127-06-03.999|37-30-23.356|2019Y2178|-115.17743|7.53||||||
43740|1|1|127-06-03.999|37-30-23.680|2019Y2178|-99.64153|21.82||||||
43740|1|1|127-06-03.999|37-30-24.005|201935867|-73.167465|14.89||||||
43740|1|1|127-06-04.000|37-30-24.329|2019Y2178|-78.74314|23.77||||||
43740|1|1|127-06-04.000|37-30-24.653|2019Y2178|-100.737236|20.27||||||
43740|1|1|127-06-04.001|37-30-24.978|201936889|-99.88789|22.22||||||
43740|1|1|127-06-04.001|37-30-25.302|201930926|-82.88317|20.26||||||
43740|1|1|127-06-04.002|37-30-25.626|201930926|-85.2659|18.29||||||
43740|1|1|127-06-04.002|37-30-25.951|201930926|-80.32178|17.2||||||
43740|1|1|127-06-04.370|37-29-57.082|20193AI66|-96.05325|12.64||||||
43740|1|1|127-06-04.371|37-29-57.407|20193AI66|-93.94264|29.28||||||
43740|1|1|127-06-04.371|37-29-57.731|20193AI66|-119.16721|4.37||||||
43740|1|1|127-06-04.372|37-29-58.055|20193AI66|-94.02798|13.36||||||
43740|1|1|127-06-04.372|37-29-58.380|20193AI66|-94.252525|12.97||||||
43740|1|1|127-06-04.372|37-29-58.704|20193AI66|-94.39474|12.57||||||
43740|1|1|127-06-04.373|37-29-59.028|20193AI66|-117.72669|5.62||||||
43740|1|1|127-06-04.373|37-29-59.353|20193AI66|-93.88465|12.52||||||
43740|1|1|127-06-04.374|37-29-59.677|20193AI66|-94.16279|12.24||||||
43740|1|1|127-06-04.374|37-30-0.002|20193AI66|-95.26117|10.73||||||
43740|1|1|127-06-04.375|37-30-0.326|20193AI66|-119.84008|3.37||||||
43740|1|1|127-06-04.375|37-30-0.650|20193AI66|-121.38174|1.73||||||
43740|1|1|127-06-04.376|37-30-0.975|20193AI66|-98.130646|7.29||||||
43740|1|1|127-06-04.376|37-30-01.299|2019Y1723|-97.94707|7.15||||||
43740|1|1|127-06-04.376|37-30-01.623|2019Y1723|-97.41895|8.59||||||
43740|1|1|127-06-04.377|37-30-01.948|2019Y1723|-120.72145|2.62||||||
43740|1|1|127-06-04.377|37-30-02.272|2019Y1723|-119.52464|3.84||||||
43740|1|1|127-06-04.378|37-30-02.596|2019Y1723|-118.89172|4.57||||||
43740|1|1|127-06-04.378|37-30-02.921|2019Y1723|-93.18162|14.2||||||
